Station Code,Locations,State,Temperature,Dissolved.Oxygen ,pH,Conductivity ,BOD ,Nitrate ,Fecal.Coliform 
17,PERIYAR RIVER NEAR ALWAYENANELOOR,KERALA,28,5.4,6.9,2872,1.9,0.5,457
18,PERIYAR AT KALADY,KERALA,27.1,7.3,7.1,36,1,0.3,295
20,CHALIYAR AT KOOLIMADU,KERALA,26.2,7.2,7.3,73,0.7,0.4,1577
21,CHALIYAR AT CHUNGAPALLY,KERALA,26,6.9,7.3,10730,0.8,0.4,926
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25.1,7.1,7.3,67,1.2,0.5,263
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27.1,6.9,7,70,0.9,0.4,1212
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,23,5.7,7.3,661,8.3,4.3,1317
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,22.5,5.2,7.4,1138,21.5,7.4,26875
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,28.2,5.5,7.3,3173,7.3,2.1,283
1094,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,26.6,6.8,7.7,145,3.6,0.6,30
1151,PATALGANGA AT SHILPHATA,MAHARASHTRA,28,6.7,7.5,168,4,0.6,113
1152,KUNDALIKA AT ROHA CITY,MAHARASHTRA,27.4,6.7,7.7,213,4,0.6,80
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,27.9,6.3,6.8,124,1.2,0.6,302
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,27.4,1.6,7.3,1828,18.3,3.4,5359
1156,PAMBA AT CHENGANNUR,KERALA,27.6,6.1,6.9,57,0.8,0.9,223
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,23.3,7.2,7.1,100,2.3,0.1,21
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,23.1,5.4,7.3,710,10.3,4.6,2450
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,27.6,6.5,7,53,1.3,0.3,640
1339,MEENACHIL AT KIDANGOOR,KERALA,26.7,6.9,6.9,53,0.6,0.4,1768
1340,MANIMALA  AT KALLOOPARA,KERALA,27.6,7.2,6.9,79,1.5,0.4,635
1341,PAMBA AT THAKAZHY,KERALA,28,5.1,6.9,366,1,1.1,274
1342,ACHENKOIL AT THUMPAMON,KERALA,25.4,6.8,7.2,78,1.1,0.6,235
1384,MANIMALA AT THONDRA,KERALA,27.8,6.8,6.8,91,1.8,0.3,600
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29.5,5.8,7.1,80,2.4,0.2,2212
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,27.8,6.5,7.8,161,1.8,0,260
1427,UMTREW AT BYRNIHAT EAST,MEGHALAYA,23.7,7.5,7.2,136,6.8,3.5,310
1428,KHARKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS DT,MEGHALAYA,21.4,5.6,3.1,643,7.1,1.6,21
1442,VAMANAPURAM,KERALA,27.5,6.9,7.3,56,0.9,0.5,508
1443,ACHENKOIL AT CHENNITHULA,KERALA,25.6,6.3,7.1,75,1.3,0.6,261
1444,KALI AT D/S WEST COAST PAPER MILL,KARNATAKA,27.6,7.1,7.2,174,2.5,1.5,111
1448,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,26.9,5.9,7.5,450,1.2,1.7,7
1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,28.1,6.6,7.5,968,1.9,0.3,346
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,29.6,7,7.9,111,4,0.6,33
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,27.9,6.5,7.5,703,4.3,1.8,81
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,23.3,5.2,7.4,1185,20.9,7.3,27146
1475,ZUARI AT PANCHAWADI,GOA,29.8,6.1,6.9,214,1.2,0.2,1611
1476,"MANDOVI AT TONCA, MARCELA",GOA,29.1,5.9,6.7,265,1.3,0.2,1485
1543,KALNA AT CHANDELNAN PERNEM,GOA,27.1,7.2,6.8,97,1,0.2,1913
1544,RIVER VALVANT AT SANKLI NAN BICHOLIM,GOA,29.2,7.2,6.4,76,1.5,0.1,3750
1545,RIVER MADAI AT DABOS NAN VALPOI,GOA,28.4,7.3,6.5,103,1.3,0.1,763
1546,KHANDEPAR AT OPA NAN PONDA,GOA,28.9,7.1,6.6,123,1.3,0.2,990
1547,RIVER TALPONA AT CANACONA,GOA,29,7.1,6.7,62,1,0.2,1001
1548,RIVER ASSONORA AT ASSONORA,GOA,28.1,6.9,6.4,75,1.4,0.2,2181
1563,R NEYYAR AT AMARAVILA ,KERALA,26.6,6.8,7.2,61,0.9,0.4,453
1564,R ITHIKKARA AT AYUR ,KERALA,26.1,6.7,7.2,98,1.2,0.8,282
1565,PAMBA DOWN,KERALA,28.2,4.8,6.9,69,0.8,1,276
1566,R KADALUNDI AT THIRURANGADY,KERALA,29.4,6.3,6.9,88,1.4,0.2,214
1567,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25.7,7.2,7.1,121,0.8,0.1,538
1568,R MAHE AT VALAYAM,KERALA,26.4,7,7.3,67,0.8,0.3,2835
1569,R KUPPAM AT THALIPARAMBA,KERALA,27.7,6.2,6.9,13383,1.5,0.4,253
1570,R NEELESWARAM AT HOSDURG,KERALA,29.9,6.3,7.1,17764,1.2,0.3,258
1571,R KARINGODE AT KAKKADAVU,KERALA,29.3,7.3,7.1,54,1,0.2,151
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,29.2,7.4,7.1,61,0.9,0.1,112
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,28.2,2.5,6.7,1241,2.5,1.4,650
1631,MYNTDU RIVER JOWAI,MEGHALAYA,20.2,6.9,7.1,119,2.5,2.5,2040
1632,GANOL RIVER TURA,MEGHALAYA,23.7,7.5,7.4,119,2.2,2.4,268
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,24.2,7.8,7.3,109,1.9,3.1,291
1698,GHAGGAR AT D/S CHHATBIR,PUNJAB,24,5.5,7.5,784,15.1,7.3,13451
1699,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,23.1,4.6,7.5,997,17.6,7.3,13386
1701,D/S JHARMAL NADI,PUNJAB,24,4.8,7.3,1094,24.6,8.8,22620
1702,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,23.4,5.1,7.3,1029,15,7.7,2976
1703,GHAGGAR AT MOONAK,PUNJAB,22.6,5,7.5,1381,22.6,8,28188
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,23.2,4.7,7.5,1093,27.8,7,26938
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,27.4,6.6,7.9,189,4.1,1.3,460
1870,RIVER SUKHANA AT PARWANOO,HIMACHAL PRADESH,19.6,5.3,7.4,658,26.6,1.6,82
1871,RIVER MARKANDA AT PAONTA,HIMACHAL PRADESH,21.3,7.7,7.6,337,1.2,0.3,9
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,29,6.7,7.2,78,1,0.4,61
2162,ULHAS RIVER ATJAMBHUL WATER WORKS,MAHARASHTRA,27,6.9,7.6,154,3.6,0.8,40
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS ,MAHARASHTRA,23.8,6.9,7.6,240,2.6,0.9,3
2168,MITHI RIVER,MAHARASHTRA,26.3,3.8,7.5,15046,40.8,1.9,570
2198,KUNDALIKA RIVER AT ARE KHURD ,MAHARASHTRA,27.6,6.2,7.5,1748,5.5,1.1,87
2199,SAVITRI RIVER AT OVALE VILLAGE,MAHARASHTRA,28.8,6.5,7.5,10743,17.5,2.9,4
2272,RIVER KUSHAWATI NEAR BUND AT KEVONA,GOA,27.8,6.9,6.6,141,1.2,0.3,1868
2273,RIVER SAL NEAR HOTEL LEELA MOBOR,GOA,29.2,5.8,7.2,118,1.6,0.2,1494
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,28.7,5,6.5,259,2,0.2,3122
2275,RIVER CHAPORA NEAR ALORNA FORT,GOA,28,6.9,6.8,351,1.4,0.4,1443
2284,R NEYYAR AT ARUVIPURAM,KERALA,27,7.2,7.2,55,0.6,0.3,353
2285,R MAMOM AT MAMOM BRIDGE,KERALA,27.3,7,7.2,88,0.8,0.3,671
2286,R AYROOR AT AYROOR BRIDGE,KERALA,27.5,6.5,7.1,77,1.2,0.4,812
2287,R ITHIKKARA AT ITHIKKARA,KERALA,24.7,6.3,7.2,3368,1.4,1.1,330
2288,R PALLICKAL AT NELLIMUKAL,KERALA,26.2,6.2,7.2,98,1.1,0.7,250
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29,6.3,6.9,62,1.4,0.5,136
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.8,6.8,115,2,0.6,236
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.5,5.6,7,89,1.9,0.4,204
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,29.5,4.6,6.8,4300,1.6,0.5,176
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29.7,6.7,7,78,1.3,0.2,220
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.3,3.8,7.5,30264,1.9,0.7,27509
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.6,5.9,7.3,15178,1.1,0.4,1300
2296,THALLASSERY AT PATHIPPALAM,KERALA,26.2,6.2,6.7,64,1,1.2,182
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,26.6,6.9,6.9,59,1,0.3,132
2298,R KUPPAM AT RAYAROM,KERALA,26,7.7,7,50,1.2,0.3,135
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.4,4.1,6.7,18387,1.4,0.5,121
2300,PERUVAMBA AT CHANDAPPURA,KERALA,26.8,6.7,6.6,49,1,0.5,111
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28,6.2,6.7,66,1.4,0.3,97
2303,R PULLUR AT PULLUR BR.,KERALA,28,6.4,6.3,51,1,0.1,269
2304,R MOGRAL AT MOGRAL BR.,KERALA,29.6,5.7,7.2,20147,1.4,0.4,153
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.6,7.1,7,65,1.3,0.1,141
2306,R UPPALA AT UPPALA BR,KERALA,29.7,6.5,7.2,15384,1.2,0.5,384
2307,R MANJESWAR AT BAJRAKKARA BR,KERALA,28.6,7,7,88,1.3,0.3,242
2319,ANCHARAKANDY AT MERUVAMBA,KERALA,26.8,6.9,6.8,2989,1.2,0.3,149
2326,R KORAYAR AT KANJIKODE,KERALA,27.4,6.5,8,602,1.1,0.5,633
2331,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28,6.8,7.5,134,0.8,0.4,544
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28,6.8,7.8,202,1.1,0.5,519
2333,PERIYAR AT MUPPATHADAM,KERALA,28,6.6,7.1,74,1.4,0.3,429
2334,RIVER PERIYAR AT PATHALAM,KERALA,27.7,5.9,6.9,1832,2,0.5,558
2335,R PERIYAR AT KALAMASSERY,KERALA,27.7,5.1,6.9,67,2.2,0.3,702
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,27.9,6.7,7,2335,1.5,0.4,320
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,27.9,1.8,6.7,217,2.9,1.1,529
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27.3,2.3,6.7,83,2.1,0.3,391
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27,5.9,7.8,316,1.1,1.8,4
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,26.1,7.4,8,208,1.3,1,5264
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.5,6.8,7.8,134,4,0.5,31
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,24.3,6.1,8,458,3.9,2.5,43
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,26.9,5.7,7.8,27079,7.8,1.5,167
2676,"MUCHKUNDI RIVER AT WAKED, RATNAGIRI",MAHARASHTRA,26.2,6.8,7.9,472,2.9,1.5,3
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD",MAHARASHTRA,27.9,6.2,7.1,1681,13,1.6,137
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD",MAHARASHTRA,28,6.6,7.4,163,3.6,0.9,60
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD",MAHARASHTRA,28.2,6.6,7.4,145,4.4,0.9,49
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD",MAHARASHTRA,27.9,6.7,7.6,158,4,0.6,71
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28.2,6.8,7.5,231,3,2.3,4
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD, RAIGAD",MAHARASHTRA,28.5,6.6,7.6,1849,3.2,2.3,3
2703,SAVITRI RIVER AT DADLI BRIDGE,MAHARASHTRA,28.6,6.6,7.6,5885,3.4,3.6,4
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.6,6.6,7.5,8514,4.1,3.3,4
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.5,6.8,8.1,1907,4.1,0.7,34
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.5,7,8.1,185,3.7,0.6,39
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.4,6.8,7.9,191,4,0.5,29
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE",MAHARASHTRA,27.5,6.9,7.9,186,4,0.6,32
2713,VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL,MAHARASHTRA,23.9,6.8,7.6,197,2.9,1.4,3
2714,VASHISTI AT U/S OF POPHALI NR KONPHANSAWANE BRIDGE,MAHARASHTRA,24,7.1,7.5,214,2.5,2,3
2780,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,26.8,7.5,7.4,115,2,1.1,261
2947,RIVER JAWAI AT JAWAI DAM,RAJASTHAN,26.1,5.5,8.1,524,1.3,0.4,4
2948,BANDI AT HEMAWAS DAM,RAJASTHAN,24.7,5.7,8,534,1.3,0.4,5
